order_id,product_id,add_to_cart_order,reordered
55605,40601,1,0
55605,40617,3,0
55605,40650,10,0
55605,40733,2,0
55605,40745,1,0
55606,40590,5,0
55606,40630,10,0
55606,40643,30,0
55607,40733,2,1
55607,40769,3,0
55608,40587,5,0
55608,40588,2,0
55608,40589,2,0
55608,40590,5,1
55608,40594,70,0
55608,40601,3,1
55608,40627,6,0
55608,40643,30,1
55608,40690,10,0
55608,40750,2,0
55608,40753,6,0
55608,40760,2,0
55608,40769,3,1
55608,40771,6,0
55608,40773,2,0
55608,40774,40,0
55608,40841,1,0
55609,40962,10,0
55721,40578,3,0
55721,40579,5,0
55721,40587,4,1
55721,40588,2,1
55721,40589,2,1
55721,40594,90,1
55721,40627,5,1
55721,40632,2,0
55721,40672,3,0
55721,40723,2,0
55721,40753,4,1
55721,40760,2,1
55721,40771,4,1
55721,40811,2,0
55734,40745,3,1
55750,40594,90,1
55751,40643,70,1
55775,40587,5,1
55775,40588,3,1
55775,40589,2,1
55775,40594,80,1
55775,40601,2,1
55775,40615,2,0
55775,40630,10,1
55775,40631,50,0
55775,40643,30,1
55775,40726,0.5,0
55775,40750,2,1
55775,40760,2,1
55775,40774,30,1
55775,40796,10,0
55775,40841,2,1
55818,40733,1,1
55818,40734,2,0
55820,40650,6,1
55820,40733,2,1
55820,40745,1,1
55820,40757,1,0
55820,40769,1,1
55911,40582,1,0
55911,40587,2,1
55911,40594,80,1
55911,40613,2,0
55911,40633,1,0
55911,40637,0.5,0
55911,40669,2,0
55911,40690,15,1
55911,40696,3,0
55911,40760,2,1
55911,40774,40,1
55911,40924,4,0
55912,40593,2,0
55912,40650,2,1
55913,40586,10,0
55913,40626,25,0
55913,40806,30,0
55913,40844,25,0
55913,40848,20,0
55915,41256,3,0
55915,41266,1,0
55915,41275,10,0
55915,41280,1,0
55916,40646,1,0
55916,40650,5,1
55916,40769,1,1
55916,40924,1,1
55918,40593,2,1
55918,40650,5,1
56025,40601,1,1
56025,40646,1,1
56025,40733,2,1
