order_id,product_id,add_to_cart_order,"reordered"
58129,40724,1,1
58129,40733,2,1
58129,40769,1,1
58129,40773,5,1
58156,40583,2,1
58156,40602,1,1
58156,40760,0,1
58156,40870,1,1
58158,40602,1,1
58158,40733,3,1
58186,40672,5,1
58229,40582,1,1
58229,40583,1,1
58229,40587,4,1
58229,40601,3,1
58229,40613,1,1
58229,40672,3,1
58229,40690,10,1
58229,40760,3,1
58229,40774,40,1
58231,40593,2,1
58231,40650,5,1
58232,40593,2,1
58232,40650,5,1
58277,40583,5,1
58277,40714,3,1
58303,40643,30,1
58305,40617,1,1
58305,40646,2,1
58305,40650,10,1
58305,40773,5,1
58305,40797,2,1
58306,40583,1,1
58306,40587,5,1
58306,40588,3,1
58306,40589,2,1
58306,40632,3,1
58306,40648,3,1
58306,40724,2,1
58306,40760,3,1
58358,40586,12,1
58358,40587,5,1
58358,40643,30,1
58358,40735,1,1
58378,40594,80,1
58445,40643,40,1
58446,40590,5,1
58446,40594,50,1
58446,40669,2,1
58446,40690,15,1
58446,40760,3,1
58446,40774,30,1
58446,40841,2,1
58504,40579,8,1
58504,40582,1,1
58504,40587,5,1
58504,40588,3,1
58504,40589,3,1
58504,40594,70,1
58504,40613,1,1
58504,40726,1,1
58504,40760,3,1
58504,40773,1,1
58504,40811,3,1
58526,40643,30,1
58595,40587,5,1
58595,40588,3,1
58595,40589,3,1
58595,40590,5,1
58595,40601,2,1
58595,40630,10,1
58595,40631,50,1
58595,40643,50,1
58595,40690,15,1
58595,40735,2,1
58595,40760,3,1
58595,40774,40,1
58595,40796,10,1
58595,40799,3,1
58595,40806,2,1
58595,40811,3,1
58609,40601,1,1
58609,40602,0,1
58609,40617,1,1
58609,40650,5,1
58609,40731,1,1
58609,40745,1,1
58609,40769,1,1
58609,40773,3,1
58648,40579,10,1
58648,40587,3,1
58648,40628,0.5,0
58648,40760,1,1
58648,40799,3,1
58649,40593,1,1
58649,40647,2,0
58649,40650,5,1
58650,40586,12,1
58650,40590,8,1
58650,40626,20,1
58650,40630,15,1
58650,40643,30,1
58650,40760,1,1
58650,40806,30,1
58650,40844,20,1
58650,40848,20,1
58655,40593,1,1
58655,40646,1,1
58655,40649,1,1
58655,40650,5,1
58655,40773,3,1
58655,40797,1,1
58705,40586,1,1
58705,40594,20,1
58705,40630,2,1
58705,40631,2,1
58705,40774,6,1
58705,40806,2,1
58705,40848,2,1
58749,40582,1,1
58749,40587,5,1
58749,40588,3,1
58749,40589,2,1
58749,40594,50,1
58749,40613,1,1
58749,40632,4,1
58749,40643,30,1
58749,40690,10,1
58749,40760,2,1
58749,40774,40,1
58749,40923,2,0
58750,40587,8,1
58750,40590,5,1
58750,40643,30,1
58750,40690,10,1
58750,40760,1,1
